step,row,col,action,decision,resource_before,resource_after,v_stay,v_leave,can_scan_here,can_move_neighbors,hidden_local,hidden_global,total_moves,visited_here,overall_label,explorer_label,mine_id,revealed_cat,move_probs,cfg_init_resource,cfg_move_cost,cfg_scan_cost,cfg_gamma,cfg_beta_local,cfg_beta_global,cfg_avoid_base,cfg_no_backtrack
0,2,1,move,leave,200.0,196.0,-0.2,1.2000000000000002,False,True,2,4,1,True,rich,None,,,"[0.0, 0.6667, 0.0, 0.3333]",200,4,2,0.1,0.6,0.4,True,True
1,2,1,scan,scan_here,196.0,194.0,1.0,0.4,True,True,1,3,1,True,rich,None,1.0,rich,,200,4,2,0.1,0.6,0.4,True,True
2,2,0,move,leave,194.0,190.0,0.39999999999999997,0.4,False,True,0,3,2,True,poor,poor,,,"[0.5, 0.5]",200,4,2,0.1,0.6,0.4,True,True
3,1,0,move,leave,190.0,186.0,-0.2,0.8000000000000002,False,True,0,3,3,True,poor,poor,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
4,0,0,move,leave,186.0,182.0,-0.2,0.8000000000000002,False,True,1,3,4,True,neutral,None,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
5,0,1,move,leave,182.0,178.0,0.39999999999999997,0.4,True,True,0,3,5,True,poor,poor,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
6,0,2,move,leave,178.0,174.0,-0.2,0.8000000000000002,False,True,0,3,6,True,poor,poor,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
7,1,2,move,leave,174.0,170.0,-0.2,0.8000000000000002,False,True,1,3,7,True,poor,None,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
8,2,2,move,leave,170.0,166.0,0.39999999999999997,0.4,True,True,0,3,8,True,poor,poor,,,[1.0],200,4,2,0.1,0.6,0.4,True,True
9,2,2,halt,no_actions_left,166.0,166.0,-0.2,0.8000000000000002,False,False,0,3,8,True,poor,poor,,,,200,4,2,0.1,0.6,0.4,True,True
