action,decision,v_stay,v_leave,note,step,row,col,resource,reward_total,total_digs,overall,E_next_here,resource_before,resource_after,Q_stay,Q_leave,stay_prob,can_dig,can_move,available_mines_here,overall_label,explorer_label,mine_id,dig_success,reward_gained,depleted,remaining_after,move_choice_label,move_probs,move_label_scores,move_e_next,cfg_init_resource,cfg_move_cost,cfg_dig_cost,cfg_reward_amount,cfg_beta_trust,cfg_stay_leave_temp,cfg_move_temp,cfg_K,cfg_SIGMA2,cfg_baseline_mode,lambda_rate,R_ENV,post_k0,post_k1,post_k2
enter,enter,,,entered_cell,6,1,2,284.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,7,2,2,,0.0,0,,0.6,284.0,280.0,-1.4,-3.4333333333333336,,True,True,1.0,neutral,neutral,,,,,,neutral,"[0.2891, 0.7109]","[0.5, 0.5]","[0.0, 0.6]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,7,2,2,280.0,0.0,0,neutral,0.6,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
dig,stay,,,,8,2,2,,1.0,1,,0.6,280.0,278.0,-1.4,-3.4333333333333336,,True,True,1.0,neutral,neutral,1.0,True,1.0,False,2.0,,,,,312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
decide,stay,,,,8,2,2,,1.0,1,,0.6,280.0,278.0,-1.4,-3.4333333333333336,0.999961571265969,True,True,1.0,neutral,neutral,,,,,,,,,,312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
dig,stay,,,,9,2,2,,2.0,2,,0.6,278.0,276.0,-1.4,-3.4333333333333336,,True,True,1.0,neutral,neutral,1.0,True,1.0,False,1.0,,,,,312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
decide,stay,,,,9,2,2,,2.0,2,,0.6,278.0,276.0,-1.4,-3.4333333333333336,0.999961571265969,True,True,1.0,neutral,neutral,,,,,,,,,,312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
dig,stay,,,,10,2,2,,3.0,3,,0.0,276.0,274.0,-2.0,-3.4333333333333336,,True,True,0.0,neutral,neutral,1.0,True,1.0,True,,,,,,312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
decide,stay,,,,10,2,2,,3.0,3,,0.0,276.0,274.0,-1.4,-3.4333333333333336,0.999961571265969,True,True,0.0,neutral,neutral,,,,,,,,,,312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
move,auto_leave,,,,11,1,2,,3.0,3,,0.0,274.0,270.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,11,1,2,270.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,12,2,2,,3.0,3,,0.0,270.0,266.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,12,2,2,266.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,13,1,2,,3.0,3,,0.0,266.0,262.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,13,1,2,262.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,14,0,2,,3.0,3,,0.0,262.0,258.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,14,0,2,258.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,15,1,2,,3.0,3,,0.0,258.0,254.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,15,1,2,254.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,16,2,2,,3.0,3,,0.0,254.0,250.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,16,2,2,250.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,17,2,1,,3.0,3,,0.0,250.0,246.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,17,2,1,246.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,18,2,2,,3.0,3,,0.0,246.0,242.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,18,2,2,242.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,19,1,2,,3.0,3,,0.0,242.0,238.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,19,1,2,238.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,20,2,2,,3.0,3,,0.0,238.0,234.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,20,2,2,234.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,21,1,2,,3.0,3,,0.0,234.0,230.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,21,1,2,230.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,22,0,2,,3.0,3,,0.0,230.0,226.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,22,0,2,226.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,23,1,2,,3.0,3,,0.0,226.0,222.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,23,1,2,222.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,24,2,2,,3.0,3,,0.0,222.0,218.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,24,2,2,218.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,25,2,1,,3.0,3,,0.0,218.0,214.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,25,2,1,214.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,26,2,0,,3.0,3,,0.0,214.0,210.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,26,2,0,210.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,27,2,1,,3.0,3,,0.0,210.0,206.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,27,2,1,206.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,28,2,2,,3.0,3,,0.0,206.0,202.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,28,2,2,202.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,29,2,1,,3.0,3,,0.0,202.0,198.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,29,2,1,198.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,30,2,2,,3.0,3,,0.0,198.0,194.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,30,2,2,194.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,31,2,1,,3.0,3,,0.0,194.0,190.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,31,2,1,190.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,32,2,2,,3.0,3,,0.0,190.0,186.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,32,2,2,186.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,33,1,2,,3.0,3,,0.0,186.0,182.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,33,1,2,182.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,34,2,2,,3.0,3,,0.0,182.0,178.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,34,2,2,178.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,35,2,1,,3.0,3,,0.0,178.0,174.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,35,2,1,174.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,36,2,2,,3.0,3,,0.0,174.0,170.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,36,2,2,170.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,37,2,1,,3.0,3,,0.0,170.0,166.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,37,2,1,166.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,38,2,2,,3.0,3,,0.0,166.0,162.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,38,2,2,162.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,39,2,1,,3.0,3,,0.0,162.0,158.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,39,2,1,158.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,40,2,2,,3.0,3,,0.0,158.0,154.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,40,2,2,154.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,41,1,2,,3.0,3,,0.0,154.0,150.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,41,1,2,150.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,42,2,2,,3.0,3,,0.0,150.0,146.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,42,2,2,146.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,43,2,1,,3.0,3,,0.0,146.0,142.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,43,2,1,142.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,44,2,0,,3.0,3,,0.0,142.0,138.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,44,2,0,138.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,45,2,1,,3.0,3,,0.0,138.0,134.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,45,2,1,134.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,46,2,2,,3.0,3,,0.0,134.0,130.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,neutral,,,,,,neutral,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.0,1.0,0.0
enter,enter,,,entered_cell,46,2,2,130.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,0.0,1.0,0.0
move,auto_leave,,,,47,1,2,,3.0,3,,0.0,130.0,126.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,47,1,2,126.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,48,0,2,,3.0,3,,0.0,126.0,122.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,48,0,2,122.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,49,0,1,,3.0,3,,0.0,122.0,118.0,-2.0,-3.4333333333333336,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,49,0,1,118.0,3.0,3,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,50,0,2,,3.0,3,,0.0,118.0,114.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,50,0,2,114.0,3.0,3,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,51,0,1,,3.0,3,,0.0,114.0,110.0,-2.0,-3.4333333333333336,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,51,0,1,110.0,3.0,3,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,52,0,0,,3.0,3,,0.0,110.0,106.0,-2.0,-3.4333333333333336,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
enter,enter,,,entered_cell,52,0,0,106.0,3.0,3,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,
move,auto_leave,,,,53,1,0,,3.0,3,,0.0,106.0,102.0,-2.0,-3.4333333333333336,,False,True,0.0,poor,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,,,
